elementary_invariant,coefficient_id,f0_power,f1_power,f2_power,f3_power,target_coefficient,canonical_coefficient,residual,coefficient_pass
e3,57,0,5,1,0,-0.00042075729117912054,-0.0004207572911790468,-7.37257477290143e-17,True
e3,58,0,5,0,1,-0.0024518658180974024,-0.002451865818097406,3.469446951953614e-18,True
e3,59,0,4,2,0,0.019795741724142203,0.019795741724142182,2.0816681711721685e-17,True
e3,60,0,4,1,1,-0.002134173664583484,-0.002134173664583476,-7.806255641895632e-18,True
e3,61,0,4,0,2,0.01753751703078978,0.017537517030789738,4.163336342344337e-17,True
e3,62,0,3,3,0,-0.00039609049369820546,-0.0003960904936980426,-1.6284716630732277e-16,True
e3,63,0,3,2,1,-0.005718027593574388,-0.005718027593574402,1.3877787807814457e-17,True
e3,64,0,3,1,2,-0.0038413303122068116,-0.0038413303122066646,-1.470178145890344e-16,True
e3,65,0,3,0,3,-7.399655254387686e-05,-7.399655254386529e-05,-1.157385819128276e-17,True
e3,66,0,2,4,0,0.019529129476938006,0.019529129476937978,2.7755575615628914e-17,True
e3,67,0,2,3,1,-0.0020774867866257484,-0.002077486786625742,-6.5052130349130266e-18,True
e3,68,0,2,2,2,0.03845110126294804,0.03845110126294794,9.71445146547012e-17,True
e3,69,0,2,1,3,-0.003539255303540636,-0.0035392553035406113,-2.47198095326695e-17,True
e3,70,0,2,0,4,0.017469532344219493,0.01746953234421941,8.326672684688674e-17,True
e3,71,0,1,5,0,-3.5090880938851154e-17,3.794090699745054e-17,-7.30317879363017e-17,True
e3,72,0,1,4,1,-0.004474289364400655,-0.004474289364400661,6.071532165918825e-18,True
e3,73,0,1,3,2,-0.0036201102443261255,-0.0036201102443259798,-1.457167719820518e-16,True
e3,74,0,1,2,3,-0.0029520922774804253,-0.0029520922774804244,-8.673617379884035e-19,True
e3,75,0,1,1,4,-0.0030613529559838774,-0.0030613529559838067,-7.068998164605489e-17,True
e3,76,0,1,0,5,0.0023773138536930445,0.0023773138536930557,-1.1275702593849246e-17,True
e3,77,0,0,6,0,0.004521122685185195,0.004521122685185182,1.3010426069826053e-17,True
e3,78,0,0,5,1,-2.935477382004503e-17,-2.3997919790524822e-17,-5.356854029520211e-18,True
e3,79,0,0,4,2,0.01683775686955504,0.016837756869554986,5.551115123125783e-17,True
e3,80,0,0,3,3,-0.002095579597090713,-0.002095579597090715,2.168404344971009e-18,True
e3,81,0,0,2,4,0.017188118342724053,0.01718811834272397,8.326672684688674e-17,True
e3,82,0,0,1,5,-0.0019947520688482806,-0.0019947520688482876,6.938893903907228e-18,True
e3,83,0,0,0,6,0.00497214223812161,0.00497214223812157,3.9898639947466563e-17,True
e4,0,8,0,0,0,0.00028147234556017103,0.00028147234556017336,-2.3310346708438345e-18,True
e4,1,7,1,0,0,-1.7359830075807072e-05,-1.7359830075799398e-05,-7.674118502123961e-18,True
e4,2,7,0,1,0,-8.936073812630053e-05,-8.936073812630094e-05,4.0657581468206416e-19,True
e4,3,7,0,0,1,3.067056491051119e-05,3.067056491050936e-05,1.8295911660692887e-18,True
e4,4,6,2,0,0,0.0006313551515975441,0.0006313551515975494,-5.312590645178972e-18,True
e4,5,6,1,1,0,0.0004522706264304277,0.0004522706264304356,-7.860465750519907e-18,True
e4,6,6,1,0,1,0.00046218323821223186,0.0004621832382122324,-5.421010862427522e-19,True
e4,7,6,0,2,0,0.0009255923081271699,0.0009255923081271753,-5.421010862427522e-18,True
e4,8,6,0,1,1,0.0007883694036081028,0.0007883694036081043,-1.5178830414797062e-18,True
e4,9,6,0,0,2,0.0009119206687674996,0.000911920668767504,-4.445228907190568e-18,True
e4,10,5,3,0,0,-3.0814525670528286e-05,-3.081452567050791e-05,-2.037622457914945e-17,True
e4,11,5,2,1,0,-0.00014190325063648322,-0.0001419032506364814,-1.81603863891322e-18,True
e4,12,5,2,0,1,-4.8481174740620816e-05,-4.848117474062357e-05,2.7511630126819675e-18,True
e4,13,5,1,2,0,-2.096082030480724e-05,-2.0960820304789545e-05,-1.7696212334036843e-17,True
e4,14,5,1,1,1,0.0002262236912319104,0.00022622369123191576,-5.366800753803247e-18,True
e4,15,5,1,0,2,-9.304595652536736e-05,-9.304595652534748e-05,-1.9881557337952938e-17,True
e4,16,5,0,3,0,-0.00019342121577529115,-0.00019342121577529178,6.2341624917916505e-19,True
