group_index,source_line,target_line,projective_distance,action_pass
30,3,7,0.0,True
30,4,6,0.0,True
30,5,9,0.0,True
30,6,5,0.0,True
30,7,0,0.0,True
30,8,3,0.0,True
30,9,1,0.0,True
30,10,14,0.0,True
30,11,27,0.0,True
30,12,25,0.0,True
30,13,17,0.0,True
30,14,28,0.0,True
30,15,22,0.0,True
30,16,12,2.1073424255447017e-08,True
30,17,24,0.0,True
30,18,29,0.0,True
30,19,18,0.0,True
30,20,19,0.0,True
30,21,20,0.0,True
30,22,16,0.0,True
30,23,26,0.0,True
30,24,11,0.0,True
30,25,15,0.0,True
30,26,10,0.0,True
30,27,13,0.0,True
30,28,23,0.0,True
30,29,21,0.0,True
31,0,9,0.0,True
31,1,0,0.0,True
31,2,3,0.0,True
31,3,5,0.0,True
31,4,6,0.0,True
31,5,2,0.0,True
31,6,7,0.0,True
31,7,4,0.0,True
31,8,8,0.0,True
31,9,1,0.0,True
31,10,14,0.0,True
31,11,15,0.0,True
31,12,19,0.0,True
31,13,17,0.0,True
31,14,23,0.0,True
31,15,22,0.0,True
31,16,29,0.0,True
31,17,21,0.0,True
31,18,12,2.5809568279517847e-08,True
31,19,18,0.0,True
31,20,25,0.0,True
31,21,13,0.0,True
31,22,11,0.0,True
31,23,10,0.0,True
31,24,16,1.4901161193847656e-08,True
31,25,27,0.0,True
31,26,26,0.0,True
31,27,20,0.0,True
31,28,28,0.0,True
31,29,24,0.0,True
32,0,4,0.0,True
32,1,7,0.0,True
32,2,9,0.0,True
32,3,2,0.0,True
32,4,5,0.0,True
32,5,1,0.0,True
32,6,3,0.0,True
32,7,0,0.0,True
32,8,6,0.0,True
32,9,8,0.0,True
32,10,23,0.0,True
32,11,18,0.0,True
32,12,17,0.0,True
32,13,12,0.0,True
32,14,28,0.0,True
32,15,21,0.0,True
32,16,25,0.0,True
32,17,29,0.0,True
32,18,16,1.4901161193847656e-08,True
32,19,11,0.0,True
32,20,13,0.0,True
32,21,22,0.0,True
32,22,24,0.0,True
32,23,14,0.0,True
32,24,27,0.0,True
32,25,19,0.0,True
32,26,10,0.0,True
32,27,15,0.0,True
32,28,26,0.0,True
32,29,20,0.0,True
33,0,1,0.0,True
33,1,0,0.0,True
33,2,6,0.0,True
33,3,3,0.0,True
33,4,5,0.0,True
33,5,4,0.0,True
33,6,2,0.0,True
33,7,7,0.0,True
33,8,9,0.0,True
33,9,8,0.0,True
33,10,23,0.0,True
33,11,19,0.0,True
33,12,13,0.0,True
33,13,12,0.0,True
33,14,26,0.0,True
33,15,21,0.0,True
33,16,16,0.0,True
33,17,20,0.0,True
33,18,25,0.0,True
33,19,11,0.0,True
33,20,17,0.0,True
33,21,15,1.4901161193847656e-08,True
33,22,27,0.0,True
33,23,10,0.0,True
33,24,24,0.0,True
33,25,18,0.0,True
33,26,14,0.0,True
33,27,22,0.0,True
33,28,28,1.4901161193847656e-08,True
33,29,29,0.0,True
34,0,2,0.0,True
34,1,7,0.0,True
34,2,6,0.0,True
34,3,4,0.0,True
34,4,8,0.0,True
34,5,3,0.0,True
34,6,1,0.0,True
34,7,0,0.0,True
34,8,9,0.0,True
34,9,5,0.0,True
34,10,23,0.0,True
34,11,27,0.0,True
34,12,25,0.0,True
34,13,12,2.1073424255447017e-08,True
34,14,10,0.0,True
34,15,21,0.0,True
34,16,17,0.0,True
34,17,15,0.0,True
34,18,13,0.0,True
34,19,11,0.0,True
34,20,16,0.0,True
34,21,20,0.0,True
34,22,19,0.0,True
34,23,26,0.0,True
34,24,18,0.0,True
34,25,24,1.4901161193847656e-08,True
34,26,28,0.0,True
34,27,29,0.0,True
34,28,14,0.0,True
34,29,22,0.0,True
35,0,3,0.0,True
35,1,0,0.0,True
35,2,8,0.0,True
35,3,1,0.0,True
35,4,9,0.0,True
35,5,4,0.0,True
35,6,2,0.0,True
35,7,7,0.0,True
35,8,5,0.0,True
35,9,6,0.0,True
35,10,23,0.0,True
35,11,29,0.0,True
35,12,16,0.0,True
35,13,12,0.0,True
35,14,26,0.0,True
35,15,11,0.0,True
35,16,13,0.0,True
35,17,27,0.0,True
35,18,25,0.0,True
35,19,21,0.0,True
35,20,17,0.0,True
35,21,24,0.0,True
35,22,20,1.4901161193847656e-08,True
35,23,28,0.0,True
35,24,15,0.0,True
35,25,22,0.0,True
35,26,14,0.0,True
35,27,18,0.0,True
35,28,10,0.0,True
35,29,19,0.0,True
36,0,4,0.0,True
36,1,7,0.0,True
36,2,5,0.0,True
36,3,2,0.0,True
36,4,9,0.0,True
36,5,3,0.0,True
36,6,1,0.0,True
36,7,0,0.0,True
36,8,8,0.0,True
36,9,6,0.0,True
36,10,23,0.0,True
36,11,22,0.0,True
36,12,17,0.0,True
36,13,12,1.4901161193847656e-08,True
36,14,10,0.0,True
36,15,11,0.0,True
36,16,25,0.0,True
36,17,19,0.0,True
36,18,13,0.0,True
36,19,21,0.0,True
36,20,16,0.0,True
36,21,18,0.0,True
36,22,15,0.0,True
36,23,14,0.0,True
36,24,20,0.0,True
36,25,29,0.0,True
36,26,28,0.0,True
36,27,24,0.0,True
36,28,26,0.0,True
36,29,27,0.0,True
37,0,1,0.0,True
37,1,0,2.1073424255447017e-08,True
